League,Name,Position,Team,Age,Market Value
Ligue 1,Malick Fofana,Left Winger,Olympique Lyon,20,"€25,000,000"
Ligue 1,Andrey Santos,Central Midfield,RC Strasbourg Alsace,20,"€25,000,000"
Ligue 1,Evann Guessand,Centre-Forward,OGC Nice,23,"€25,000,000"
Ligue 1,Facundo Medina,Centre-Back,RC Lens,25,"€25,000,000"
Ligue 1,Matvey Safonov,Goalkeeper,Paris Saint-Germain,26,"€22,000,000"
Ligue 1,Vanderson,Right-Back,AS Monaco,23,"€20,000,000"
Ligue 1,Lamine Camara,Central Midfield,AS Monaco,21,"€20,000,000"
Ligue 1,Folarin Balogun,Centre-Forward,AS Monaco,23,"€20,000,000"
Ligue 1,Angel Gomes,Attacking Midfield,LOSC Lille,24,"€20,000,000"
Ligue 1,Leonardo Balerdi,Centre-Back,Olympique Marseille,26,"€20,000,000"
Ligue 1,Pierre-Emile Højbjerg,Defensive Midfield,Olympique Marseille,29,"€20,000,000"
Ligue 1,Amine Gouiri,Centre-Forward,Olympique Marseille,25,"€20,000,000"
Ligue 1,Georges Mikautadze,Centre-Forward,Olympique Lyon,24,"€20,000,000"
Ligue 1,Habib Diarra,Central Midfield,RC Strasbourg Alsace,21,"€20,000,000"
Ligue 1,Emanuel Emegha,Centre-Forward,RC Strasbourg Alsace,22,"€20,000,000"
Ligue 1,Marcin Bulka,Goalkeeper,OGC Nice,25,"€20,000,000"
Ligue 1,Arnaud Kalimuendo,Centre-Forward,Stade Rennais FC,23,"€20,000,000"
Ligue 1,Guillaume Restes,Goalkeeper,FC Toulouse,20,"€20,000,000"
Ligue 1,Luis Henrique,Right Midfield,Olympique Marseille,23,"€18,000,000"
Ligue 1,Djordje Petrovic,Goalkeeper,RC Strasbourg Alsace,25,"€18,000,000"
Ligue 1,Dilane Bakwa,Right Winger,RC Strasbourg Alsace,22,"€18,000,000"
Ligue 1,Ludovic Blas,Right Winger,Stade Rennais FC,27,"€18,000,000"
Ligue 1,Hamed Junior Traoré,Attacking Midfield,AJ Auxerre,25,"€18,000,000"
Ligue 1,Thilo Kehrer,Centre-Back,AS Monaco,28,"€15,000,000"
Ligue 1,Mohammed Salisu,Centre-Back,AS Monaco,26,"€15,000,000"
Ligue 1,Caio Henrique,Left-Back,AS Monaco,27,"€15,000,000"
Ligue 1,Takumi Minamino,Left Winger,AS Monaco,30,"€15,000,000"
Ligue 1,George Ilenikhena,Centre-Forward,AS Monaco,18,"€15,000,000"
Ligue 1,Alexsandro,Centre-Back,LOSC Lille,25,"€15,000,000"
Ligue 1,Tiago Santos,Right-Back,LOSC Lille,22,"€15,000,000"
Ligue 1,Ngal'ayel Mukau,Defensive Midfield,LOSC Lille,20,"€15,000,000"
Ligue 1,Hákon Arnar Haraldsson,Attacking Midfield,LOSC Lille,22,"€15,000,000"
Ligue 1,Amar Dedic,Right-Back,Olympique Marseille,22,"€15,000,000"
Ligue 1,Ismaël Bennacer,Defensive Midfield,Olympique Marseille,27,"€15,000,000"
Ligue 1,Moussa Niakhaté,Centre-Back,Olympique Lyon,29,"€15,000,000"
Ligue 1,Ernest Nuamah,Right Winger,Olympique Lyon,21,"€15,000,000"
Ligue 1,Mamadou Sarr,Centre-Back,RC Strasbourg Alsace,19,"€15,000,000"
Ligue 1,Ismaël Doukouré,Centre-Back,RC Strasbourg Alsace,21,"€15,000,000"
Ligue 1,Sebastian Nanasi,Left Midfield,RC Strasbourg Alsace,22,"€15,000,000"
Ligue 1,Mohamed-Ali Cho,Right Winger,OGC Nice,21,"€15,000,000"
Ligue 1,Terem Moffi,Centre-Forward,OGC Nice,25,"€15,000,000"
Ligue 1,Brice Samba,Goalkeeper,Stade Rennais FC,30,"€15,000,000"
Ligue 1,Adrien Truffert,Left-Back,Stade Rennais FC,23,"€15,000,000"
Ligue 1,Christian Mawissa,Centre-Back,AS Monaco,20,"€12,000,000"
Ligue 1,Jordan Teze,Right-Back,AS Monaco,25,"€12,000,000"
Ligue 1,Soungoutou Magassa,Defensive Midfield,AS Monaco,21,"€12,000,000"
Ligue 1,Breel Embolo,Centre-Forward,AS Monaco,28,"€12,000,000"
Ligue 1,Osame Sahraoui,Left Winger,LOSC Lille,23,"€12,000,000"
Ligue 1,Quentin Merlin,Left-Back,Olympique Marseille,22,"€12,000,000"
Ligue 1,Jonathan Rowe,Left Winger,Olympique Marseille,21,"€12,000,000"
Ligue 1,Abakar Sylla,Centre-Back,RC Strasbourg Alsace,22,"€12,000,000"
Ligue 1,Guéla Doué,Right-Back,RC Strasbourg Alsace,22,"€12,000,000"
Ligue 1,Youssouf Ndayishimiye,Centre-Back,OGC Nice,26,"€12,000,000"
Ligue 1,Melvin Bard,Left-Back,OGC Nice,24,"€12,000,000"
Ligue 1,Jérémie Boga,Left Winger,OGC Nice,28,"€12,000,000"
Ligue 1,Sofiane Diop,Left Winger,OGC Nice,24,"€12,000,000"
Ligue 1,Seko Fofana,Central Midfield,Stade Rennais FC,29,"€12,000,000"
Ligue 1,Kyogo Furuhashi,Centre-Forward,Stade Rennais FC,30,"€12,000,000"
Ligue 1,Nathan Zézé,Centre-Back,FC Nantes,19,"€12,000,000"
Ligue 1,Moses Simon,Left Winger,FC Nantes,29,"€12,000,000"
Ligue 1,Matthis Abline,Centre-Forward,FC Nantes,22,"€12,000,000"
Ligue 1,Zakaria Aboukhlal,Right Winger,FC Toulouse,25,"€12,000,000"
Ligue 1,Senny Mayulu,Central Midfield,Paris Saint-Germain,18,"€10,000,000"
Ligue 1,Moatasem Al-Musrati,Defensive Midfield,AS Monaco,29,"€10,000,000"
Ligue 1,Krépin Diatta,Right Winger,AS Monaco,26,"€10,000,000"
Ligue 1,Matías Fernández-Pardo,Centre-Forward,LOSC Lille,20,"€10,000,000"
Ligue 1,Amine Harit,Attacking Midfield,Olympique Marseille,27,"€10,000,000"
Ligue 1,Neal Maupay,Centre-Forward,Olympique Marseille,28,"€10,000,000"
Serie A,Lautaro Martínez,Centre-Forward,Inter Milan,27,"€95,000,000"
Serie A,Alessandro Bastoni,Centre-Back,Inter Milan,26,"€80,000,000"
Serie A,Nicolò Barella,Central Midfield,Inter Milan,28,"€80,000,000"
Serie A,Marcus Thuram,Centre-Forward,Inter Milan,27,"€75,000,000"
Serie A,Rafael Leão,Left Winger,AC Milan,25,"€75,000,000"
Serie A,Federico Dimarco,Left-Back,Inter Milan,27,"€60,000,000"
Serie A,Ademola Lookman,Second Striker,Atalanta BC,27,"€60,000,000"
Serie A,Bremer,Centre-Back,Juventus FC,28,"€50,000,000"
Serie A,Tijjani Reijnders,Central Midfield,AC Milan,26,"€50,000,000"
Serie A,Christian Pulisic,Right Winger,AC Milan,26,"€50,000,000"
Serie A,Éderson,Central Midfield,Atalanta BC,25,"€50,000,000"
Serie A,Kenan Yıldız,Left Winger,Juventus FC,19,"€45,000,000"
Serie A,Dušan Vlahović,Centre-Forward,Juventus FC,25,"€45,000,000"
Serie A,Mateo Retegui,Centre-Forward,Atalanta BC,25,"€45,000,000"
Serie A,Alessandro Buongiorno,Centre-Back,SSC Napoli,25,"€45,000,000"
Serie A,Andrea Cambiaso,Left-Back,Juventus FC,25,"€40,000,000"
Serie A,Khéphren Thuram,Central Midfield,Juventus FC,24,"€40,000,000"
Serie A,Teun Koopmeiners,Attacking Midfield,Juventus FC,27,"€40,000,000"
Serie A,Theo Hernández,Left-Back,AC Milan,27,"€40,000,000"
Serie A,Scott McTominay,Central Midfield,SSC Napoli,28,"€40,000,000"
Serie A,Moise Kean,Centre-Forward,ACF Fiorentina,25,"€40,000,000"
Serie A,Douglas Luiz,Central Midfield,Juventus FC,26,"€38,000,000"
Serie A,Charles De Ketelaere,Attacking Midfield,Atalanta BC,24,"€38,000,000"
Serie A,Santiago Gimenez,Centre-Forward,AC Milan,24,"€37,000,000"
Serie A,Francisco Conceição,Right Winger,Juventus FC,22,"€36,000,000"
Serie A,Hakan Çalhanoğlu,Defensive Midfield,Inter Milan,31,"€35,000,000"
Serie A,Giorgio Scalvini,Centre-Back,Atalanta BC,21,"€35,000,000"
Serie A,Manu Koné,Central Midfield,AS Roma,23,"€35,000,000"
Serie A,Santiago Castro,Centre-Forward,Bologna FC 1909,20,"€35,000,000"
Serie A,Nico Paz,Attacking Midfield,Como 1907,20,"€35,000,000"
Serie A,Davide Frattesi,Central Midfield,Inter Milan,25,"€32,000,000"
Serie A,Benjamin Pavard,Centre-Back,Inter Milan,29,"€30,000,000"
Serie A,Yann Bisseck,Centre-Back,Inter Milan,24,"€30,000,000"
Serie A,Randal Kolo Muani,Centre-Forward,Juventus FC,26,"€30,000,000"
Serie A,Youssouf Fofana,Defensive Midfield,AC Milan,26,"€30,000,000"
Serie A,Isak Hien,Centre-Back,Atalanta BC,26,"€30,000,000"
Serie A,David Neres,Left Winger,SSC Napoli,28,"€30,000,000"
